transaction_id,transaction_date,transaction_time,store_id,store_name,region,product_id,product_name,category,quantity,unit_price,total_amount,discount_percent,discount_amount,final_amount,payment_method,customer_id,customer_segment,sales_person_id,promotion_code
TXN67A9779AA42D,2024-03-04,06:21:20,ST015,West Audreyland Mall,South,PRD3615,Foundation,Beauty,5,146.31,731.55,0,0.0,731.55,Digital Wallet,CUST54597,Budget,EMP259,
TXNAC8FB700D696,2024-07-23,06:21:20,ST013,West Reginaldfort Mall,North,PRD5333,T-Shirt,Clothing,1,185.9,185.9,10,18.59,167.31,Credit Card,CUST70217,Premium,EMP487,
TXN484D0383DEC7,2024-06-09,06:21:20,ST007,East Seanborough Mall,North,PRD5741,Building Blocks,Toys,1,32.45,32.45,5,1.62,30.83,Credit Card,CUST40512,Premium,EMP489,
TXN3599DEE720B4,2025-05-25,06:21:20,ST012,Campbellfurt Mall,North,PRD2169,Board Game,Toys,3,112.66,337.98,10,33.8,304.18,Debit Card,CUST80010,Standard,EMP267,
TXN9B2D25E76F0D,2024-05-16,06:21:20,ST011,Amberfort Mall,West,PRD6168,Bicycle,Sports,1,122.23,122.23,0,0.0,122.23,Digital Wallet,CUST45093,Premium,EMP316,BULK5
TXNCFF5022ADE96,2024-07-01,06:21:20,ST016,Port Michael Mall,South,PRD3340,Bicycle,Sports,4,443.49,1773.96,15,266.09,1507.87,Cash,CUST28301,Standard,EMP862,
TXN7F5AA33958E1,2024-05-09,06:21:20,ST013,West Reginaldfort Mall,North,PRD9348,Hair Dryer,Beauty,3,117.47,352.41,5,17.62,334.79,Digital Wallet,CUST21915,Premium,EMP981,
TXNAA73136E2B90,2025-05-17,06:21:20,ST014,Timothychester Mall,North,PRD8668,Curtains,Home & Garden,5,41.13,205.65,15,30.85,174.8,Cash,CUST82512,Premium,EMP796,BULK5
TXN086EB5CDFAEF,2024-05-13,06:21:20,ST010,Harveyfurt Mall,Central,PRD5315,Action Figure,Toys,4,87.5,350.0,0,0.0,350.0,Debit Card,CUST76542,Premium,EMP991,
TXN6AB7F91FCCA3,2025-05-29,06:21:20,ST012,Campbellfurt Mall,North,PRD1009,Yoga Mat,Sports,2,274.3,548.6,20,109.72,438.88,Cash,CUST74042,Premium,EMP214,SUMMER20
TXNB596ADD14A60,2024-04-15,06:21:20,ST019,Lake Kristieborough Mall,North,PRD2133,Laptop,Electronics,1,51.97,51.97,15,7.8,44.17,Debit Card,CUST26828,VIP,EMP662,
TXNC073D9C65834,2025-02-04,06:21:20,ST018,North Erika Mall,Central,PRD7118,Foundation,Beauty,2,359.34,718.68,15,107.8,610.88,Digital Wallet,CUST77839,VIP,EMP223,
TXN7CA9FD367FDD,2023-10-18,06:21:20,ST019,Lake Kristieborough Mall,North,PRD1117,Action Figure,Toys,5,122.76,613.8,5,30.69,583.11,Credit Card,CUST92719,Premium,EMP334,
TXNAE5532C2BEBD,2023-09-15,06:21:20,ST017,East Ann Mall,Central,PRD4510,Action Figure,Toys,2,146.45,292.9,15,43.93,248.97,Debit Card,CUST84847,VIP,EMP348,WELCOME15
TXN5D6E7E5741AB,2024-02-24,06:21:20,ST014,Timothychester Mall,North,PRD1887,T-Shirt,Clothing,3,217.55,652.65,15,97.9,554.75,Credit Card,CUST17944,VIP,EMP845,
TXN8740A45131A4,2023-12-03,06:21:20,ST007,East Seanborough Mall,North,PRD4006,Yoga Mat,Sports,5,229.82,1149.1,15,172.36,976.74,Cash,CUST70637,Standard,EMP995,WELCOME15
TXN728D8333EDE5,2025-02-27,06:21:20,ST018,North Erika Mall,Central,PRD3724,T-Shirt,Clothing,1,484.81,484.81,5,24.24,460.57,Digital Wallet,CUST73653,VIP,EMP318,
TXN1AC520FA9A8D,2024-01-29,06:21:20,ST013,West Reginaldfort Mall,North,PRD5673,Lipstick,Beauty,3,463.99,1391.97,15,208.8,1183.17,Digital Wallet,CUST82845,VIP,EMP258,
TXND575D818286C,2024-03-23,06:21:20,ST018,North Erika Mall,Central,PRD1821,Smart Watch,Electronics,1,376.51,376.51,0,0.0,376.51,Digital Wallet,CUST75909,Standard,EMP158,
TXN6D6FE29444E6,2024-02-20,06:21:20,ST003,Rodriguezhaven Mall,East,PRD5033,Shoes,Clothing,2,207.85,415.7,20,83.14,332.56,Credit Card,CUST91183,Premium,EMP529,
TXN0032572A2FE3,2025-03-14,06:21:20,ST007,East Seanborough Mall,North,PRD3144,Puzzle,Toys,3,126.96,380.88,15,57.13,323.75,Cash,CUST69929,Budget,EMP869,
TXNB543CDB553D9,2024-11-25,06:21:20,ST018,North Erika Mall,Central,PRD6718,T-Shirt,Clothing,2,257.88,515.76,5,25.79,489.97,Credit Card,CUST42018,Budget,EMP391,
TXN3BB7FB70971D,2025-02-20,06:21:20,ST017,East Ann Mall,Central,PRD5905,Children Book,Books,1,337.25,337.25,20,67.45,269.8,Credit Card,CUST27601,Budget,EMP218,BULK5
TXNF8590DE64954,2024-01-20,06:21:20,ST020,Lake Gary Mall,Central,PRD5325,Biography,Books,2,361.63,723.26,5,36.16,687.1,Digital Wallet,CUST42914,Premium,EMP194,
TXN0A63CCB7E68D,2024-05-23,06:21:20,ST011,Amberfort Mall,West,PRD3647,Smartphone,Electronics,2,322.19,644.38,10,64.44,579.94,Digital Wallet,CUST82309,VIP,EMP674,
TXN12B5814F9C13,2023-10-30,06:21:20,ST002,Boltonmouth Mall,North,PRD8041,Bed Sheet,Home & Garden,3,295.43,886.29,5,44.31,841.98,Debit Card,CUST15482,Budget,EMP473,
